dataset,n_estimators,Bagging,Bag_std,AdaBoost,Ada_std,RandomSubspaces,RS_std,RLO,RLO_std
ecoli3,10,0.9910447761194028,0.01194029850746268,1.0,0.0,0.9970149253731343,0.0059701492537313616,0.817998244073749,0.14368734963818805
ecoli3,20,0.9910447761194028,0.01194029850746268,1.0,0.0,1.0,0.0,0.8300702370500439,0.1545544551438631
ecoli3,30,0.9970149253731343,0.0059701492537313616,1.0,0.0,1.0,0.0,0.8778314310798946,0.02608732656821096
ecoli3,40,0.9970149253731343,0.0059701492537313616,1.0,0.0,1.0,0.0,0.7792800702370501,0.1984651909207008
ecoli3,50,0.9970149253731343,0.0059701492537313616,1.0,0.0,1.0,0.0,0.8488586479367866,0.10886845421363048
ecoli3,60,0.9970149253731343,0.0059701492537313616,1.0,0.0,1.0,0.0,0.8749341527655838,0.03235517472333458
ecoli3,70,0.9970149253731343,0.0059701492537313616,1.0,0.0,1.0,0.0,0.8689640035118525,0.04069953349742182
ecoli3,80,0.9970149253731343,0.0059701492537313616,1.0,0.0,1.0,0.0,0.883801580333626,0.034821947873496656
ecoli3,90,0.9970149253731343,0.0059701492537313616,1.0,0.0,1.0,0.0,0.801009657594381,0.0851655457733332
ecoli3,100,0.9970149253731343,0.0059701492537313616,1.0,0.0,1.0,0.0,0.73784021071115,0.192670483170126
segment0,10,0.9978326806960214,0.001371922822044503,1.0,0.0,1.0,0.0,0.7154369852851415,0.1296209850865592
segment0,20,0.9982655811289216,0.0016230287892289462,1.0,0.0,1.0,0.0,0.8251054079687485,0.21561260025461085
segment0,30,0.9982655811289216,0.0016230287892289462,1.0,0.0,1.0,0.0,0.8332347334516532,0.14399176745098502
segment0,40,0.9982655811289216,0.0016230287892289462,1.0,0.0,1.0,0.0,0.8985332093791965,0.14006194475330033
segment0,50,0.9982655811289216,0.0016230287892289462,1.0,0.0,1.0,0.0,0.893498981134556,0.15120326592981825
segment0,60,0.9991323210412147,0.0010626853547866094,1.0,0.0,1.0,0.0,0.8809176362321699,0.16874279648034768
segment0,70,0.9995661605206074,0.000867678958785234,1.0,0.0,1.0,0.0,0.7578508981979698,0.15288914710238385
segment0,80,0.9995661605206074,0.000867678958785234,1.0,0.0,1.0,0.0,0.7952089847968373,0.21405729818007027
segment0,90,0.9995661605206074,0.000867678958785234,1.0,0.0,1.0,0.0,0.8319519959433193,0.15124584808096295
segment0,100,1.0,0.0,1.0,0.0,1.0,0.0,0.7457118441934061,0.1692252617618761
vehicle2,10,0.992906369648451,0.008697371701845421,1.0,0.0,0.997640097459102,0.0028902994923177268,0.8202018795683955,0.11344297567594253
vehicle2,20,0.9952732335537766,0.00689935486723281,1.0,0.0,0.9988235294117647,0.0023529411764705802,0.8251096414897319,0.09657909496076382
vehicle2,30,0.9952732335537766,0.00689935486723281,1.0,0.0,0.9988235294117647,0.0023529411764705802,0.7765541246084233,0.13834040813528994
vehicle2,40,0.997640097459102,0.0028902994923177268,1.0,0.0,0.9988235294117647,0.0023529411764705802,0.8416985729202924,0.07412444367251983
vehicle2,50,0.997640097459102,0.0028902994923177268,1.0,0.0,0.9988235294117647,0.0023529411764705802,0.7752732335537764,0.13694727180012742
vehicle2,60,0.9988235294117647,0.0023529411764705802,1.0,0.0,1.0,0.0,0.7291681169509224,0.10401198674558797
vehicle2,70,0.9988235294117647,0.0023529411764705802,1.0,0.0,1.0,0.0,0.8215593456317437,0.1384635082091666
vehicle2,80,0.9988235294117647,0.0023529411764705802,1.0,0.0,1.0,0.0,0.8583501566306996,0.09588521198072997
vehicle2,90,0.9988235294117647,0.0023529411764705802,1.0,0.0,1.0,0.0,0.8450887573964497,0.08984142747621057
vehicle2,100,0.9988235294117647,0.0023529411764705802,1.0,0.0,1.0,0.0,0.7589349112426036,0.1328070094578702
yeast3,10,0.9898944398944399,0.0036842227208707975,0.997979797979798,0.004040404040404022,0.9858585858585858,0.00913445115572427,0.8692669942669943,0.036927441407210895
yeast3,20,0.9905678405678406,0.0025147822049340174,0.997979797979798,0.004040404040404022,0.9925925925925926,0.00779517636551532,0.8524046774046774,0.08910951401408009
yeast3,30,0.9925880425880426,0.0025184347112880198,0.997979797979798,0.004040404040404022,0.9952861952861953,0.005870570967731553,0.8800846300846301,0.0641532602626514
yeast3,40,0.9946127946127946,0.004040404040404022,0.997979797979798,0.004040404040404022,0.9973063973063973,0.0039265669325557395,0.865936390936391,0.037502605100071
yeast3,50,0.9946127946127946,0.004040404040404022,0.997979797979798,0.004040404040404022,0.9993265993265993,0.0013468013468013404,0.851076076076076,0.06644287392571964
yeast3,60,0.9946127946127946,0.004040404040404022,0.997979797979798,0.004040404040404022,0.9993265993265993,0.0013468013468013404,0.8066452816452816,0.14058088031965996
yeast3,70,0.9952861952861953,0.0034336831741365397,0.997979797979798,0.004040404040404022,1.0,0.0,0.7736964236964237,0.18633143368165672
yeast3,80,0.9952861952861953,0.0034336831741365397,0.997979797979798,0.004040404040404022,1.0,0.0,0.8874533624533625,0.03210820606286282
yeast3,90,0.9959595959595958,0.0032989760845564533,0.997979797979798,0.004040404040404022,1.0,0.0,0.7944990444990445,0.10579365271760263
yeast3,100,0.9959595959595958,0.0032989760845564533,0.997979797979798,0.004040404040404022,1.0,0.0,0.8416598416598416,0.08470035058423081
glass6,10,0.9813953488372092,0.022785951095657456,0.9718715393133998,0.017643806216305145,0.9860465116279069,0.011392975547828754,0.8018826135105204,0.2046631475015944
