Dataset Name,model,n_estimators,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle_mean,oracle_std_dev
yeast3,Bagging,20,0.9494699244699245,0.015334015555826539,0.7435212740475897,0.08587664303755457,0.8118689707663318,0.061357492745497115,0.9905678405678406,0.002514782204934017
glass6,Bagging,20,0.9438538205980066,0.018863879822695523,0.781118881118881,0.08395621935822561,0.854124397535948,0.05868974788518691,0.9860465116279069,0.01860465116279069
ecoli3,Bagging,30,0.9285338015803337,0.0220339010687781,0.6027639027639028,0.14964911960401103,0.7175852919290139,0.11895458570297737,0.9970149253731343,0.0059701492537313616
segment0,Bagging,30,0.9973988412166287,0.002125755283593813,0.9907686845375467,0.007610018978612324,0.9921071300661349,0.00817782461119759,0.9982655811289216,0.0016230287892289462
vehicle2,Bagging,30,0.9610024364775496,0.007969518854494186,0.9232672700194753,0.01651501570394888,0.9446380455980657,0.01360913868849746,0.9952732335537766,0.006899354867232809
yeast3,Bagging,30,0.9467694967694967,0.011529862357605086,0.7354384096850142,0.06438392133593875,0.8149352076214817,0.05149555946848109,0.9925880425880426,0.0025184347112880198
glass6,Bagging,30,0.9438538205980066,0.018863879822695523,0.781118881118881,0.08395621935822561,0.854124397535948,0.05868974788518691,0.9906976744186047,0.011392975547828756
ecoli3,Bagging,40,0.9255487269534679,0.02123436903646141,0.5932400932400932,0.14364346768395345,0.7161463921708335,0.11761053206393389,0.9970149253731343,0.0059701492537313616
segment0,Bagging,40,0.9973988412166287,0.002125755283593813,0.9907686845375467,0.007610018978612324,0.9921071300661349,0.00817782461119759,0.9982655811289216,0.0016230287892289462
vehicle2,Bagging,40,0.9610093978419771,0.0095220778462526,0.9235351819471379,0.01978214401778899,0.9462012684763981,0.016750169298516006,0.997640097459102,0.0028902994923177268
yeast3,Bagging,40,0.9474451724451723,0.013715996828865526,0.7356796201121265,0.0792745854595791,0.8109454793942161,0.05963205513474913,0.9946127946127946,0.004040404040404022
glass6,Bagging,40,0.9485049833887043,0.017767098946340102,0.8023310023310023,0.08101901523602409,0.8731370118408815,0.055110470502272545,0.9906976744186047,0.011392975547828756
ecoli3,Bagging,50,0.9225636523266022,0.017589087927151754,0.571994671994672,0.12624470835356558,0.6986136205509501,0.10496596511873875,0.9970149253731343,0.0059701492537313616
segment0,Bagging,50,0.9973988412166287,0.002125755283593813,0.9907686845375467,0.007610018978612324,0.9921071300661349,0.00817782461119759,0.9982655811289216,0.0016230287892289462
vehicle2,Bagging,50,0.9621928297946397,0.010223834356843308,0.9259944174456678,0.02117700237163332,0.948568898390086,0.01829957552467429,0.997640097459102,0.0028902994923177268
yeast3,Bagging,50,0.9460983710983711,0.015187986750130885,0.7266279089708632,0.08915437927047744,0.8030578580710268,0.0659373110548803,0.9946127946127946,0.004040404040404022
glass6,Bagging,50,0.9485049833887043,0.017767098946340102,0.8023310023310023,0.08101901523602409,0.8731370118408815,0.055110470502272545,0.9906976744186047,0.011392975547828756
ecoli3,Bagging,60,0.9255487269534679,0.02123436903646141,0.582983682983683,0.1398142892986673,0.700040168552692,0.10678744985383909,0.9970149253731343,0.0059701492537313616
segment0,Bagging,60,0.9973988412166287,0.002125755283593813,0.9907686845375467,0.007610018978612324,0.9921071300661349,0.00817782461119759,0.9991323210412147,0.0010626853547866094
vehicle2,Bagging,60,0.9633693003828749,0.00862865543579541,0.9285662368711124,0.017634053858199893,0.9509694980315091,0.01456271637756653,0.9988235294117647,0.00235294117647058
yeast3,Bagging,60,0.9467717717717716,0.015099468944641602,0.7381335517674941,0.08455817886647912,0.8203651549253907,0.06505453621353369,0.9946127946127946,0.004040404040404022
