Dataset Name,model,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle,oracle_std_dev,n_hyper_mean,n_hyper_std_dev,mis_0_mean,mis_0_std_dev,mis_1_mean,mis_1_std_dev
ecoli3,SGH,0.9226953467954345,0.01938907569564151,0.5549874686716791,0.28769980634855996,0.6856457932500117,0.35103159335292805,1.0,0.0,2.0,0.0,nan,nan,nan,nan
segment0,SGH,0.4787794273694491,0.024738739110136788,0.1974619803415083,0.028307929211467003,0.4651931270951497,0.039887484326317654,1.0,0.0,3.6,0.4898979485566356,nan,nan,nan,nan
vehicle2,SGH,0.6004037591367909,0.04489589819358954,0.3543342001358004,0.07382718504420062,0.5237080847805191,0.06607092111933145,1.0,0.0,4.0,0.0,nan,nan,nan,nan
yeast3,SGH,0.353021203021203,0.1227584242353101,0.14609641082855016,0.030308513898729045,0.38938810722340134,0.05741488558359286,1.0,0.0,5.2,0.9797958971132712,nan,nan,nan,nan
glass6,SGH,0.2893687707641196,0.264294849818406,0.09654507215482824,0.05784271473225779,0.17236359722112932,0.09407097805142069,0.9860465116279069,0.02790697674418605,3.6,0.8000000000000002,nan,nan,nan,nan
